Genus[7][8][9][b],Meaning or derivation,Family[4],Order[4],C,G
Schizopetalon,divided petals,Brassicaceae,Brassicales,,G
Schizophragma,divided wall (the septa in the fruit),Hydrangeaceae,Cornales,C,G
Sciadopitys,umbel or parasol + pine or fir (the leaves)[4],Sciadopityaceae,Pinales,C,G
Scilla,Greek and Latin name,Asparagaceae,Asparagales,C,G
Scindapsus,Greek name,Araceae,Alismatales,,G
Scirpus,Latin name,Cyperaceae,Poales,C,G
Scleranthus,hard flowers,Caryophyllaceae,Caryophyllales,,G
Sclerocactus,harsh cactus (the spines),Cactaceae,Caryophyllales,,
Scoliopus,bent (the flower stalks),Liliaceae,Liliales,,G
Scolymus,Greek and Latin name,Asteraceae,Asterales,,G
Scorpiurus,scorpion tail (the pods),Fabaceae,Fabales,,G
Scorzonera,Old French and Italian derivation,Asteraceae,Asterales,,G
Scrophularia,Latin: scrofula[4],Scrophulariaceae,Lamiales,C,G
Scutellaria,Latin: saucer (on the fruiting calyx),Lamiaceae,Lamiales,C,G
Scuticaria,Latin: whip (the leaves),Orchidaceae,Asparagales,,
Scyphanthus,beaker flowers,Loasaceae,Cornales,,G
Scyphostegia,beaker cover,Salicaceae,Malpighiales,,
Secale,Latin name,Poaceae,Poales,,G
Sechium,from a West Indian name,Cucurbitaceae,Cucurbitales,,G
Securidaca,Latin: axe (on the end of the pods),Polygalaceae,Fabales,,G
Securigera,Latin: axe-bearing (the pods are axe-shaped),Fabaceae,Fabales,,G
Sedum,Latin: sitting (on rocks and walls). Latin name.,Crassulaceae,Saxifragales,C,G
Selenicereus,moon (night-blooming) Cereus,Cactaceae,Caryophyllales,,G
Selenipedium,moon sandal (the lip of the flowers),Orchidaceae,Asparagales,,
Semele,Semele,Asparagaceae,Asparagales,,G
Sempervivum,Latin: ever-living. Latin name.,Crassulaceae,Saxifragales,C,G
Senecio,Latin: old man (the whitish hairs on the fruit),Asteraceae,Asterales,C,G
Serapias,Serapis,Orchidaceae,Asparagales,,G
Sericocarpus,silky fruit,Asteraceae,Asterales,,G
Serissa,an East Indian name,Rubiaceae,Gentianales,,G
Serratula,Latin: little saw (the leaf edges),Asteraceae,Asterales,C,G
Sesamum,"Greek and Latin name, from a Semitic name",Pedaliaceae,Lamiales,,G
Sesbania,from an Arabic name,Fabaceae,Fabales,,G
Seseli,Greek and Latin name,Apiaceae,Apiales,,G
Setaria,bristles (on the spikelet),Poaceae,Poales,C,G
Sibiraea,Siberia,Rosaceae,Rosales,,G
Sicana,from a Peruvian name,Cucurbitaceae,Cucurbitales,,
Sicyos,Greek and Latin name,Cucurbitaceae,Cucurbitales,,G
Sida,Greek name,Malvaceae,Malvales,,G
Sidalcea,from Sida and Alcea,Malvaceae,Malvales,C,G
Siderasis,rusty fur (the reddish hair),Commelinaceae,Commelinales,,
Sideritis,Greek and Latin name,Lamiaceae,Lamiales,,G
Sideroxylon,iron wood,Sapotaceae,Ericales,,G
Silene,Greek name,Caryophyllaceae,Caryophyllales,C,G
Silphium,Greek and Latin name,Asteraceae,Asterales,C,G
Silybum,Greek name,Asteraceae,Asterales,C,G
Simethis,"Symaethis, one of the Naiads of Greek myth. Listed by Quattrocchi as Symethus.",Asphodelaceae,Asparagales,,G
Sinapis,Latin name,Brassicaceae,Brassicales,,G
Sinomenium,Chinese moon (the curved fruit-stone),Menispermaceae,Ranunculales,,G
Siphocampylus,curved tube (the corollas),Campanulaceae,Asterales,,G
Sisymbrium,Greek and Latin name,Brassicaceae,Brassicales,,G
Sisyrinchium,Greek name,Iridaceae,Asparagales,C,G
Sium,Greek name,Apiaceae,Apiales,,G
Skimmia,from a Japanese name,Rutaceae,Sapindales,C,G
Smilax,Greek and Latin name[4],Smilacaceae,Liliales,C,G
Smyrnium,myrrh-scented,Apiaceae,Apiales,C,G
Solanum,Latin name[4],Solanaceae,Solanales,C,G
Soldanella,"little coin, probably (the leaves)",Primulaceae,Ericales,,G
Solidago,Latin: making whole (reputed healing properties),Asteraceae,Asterales,C,G
Sonchus,Greek and Latin name,Asteraceae,Asterales,,G
Sonerila,Malabar name,Melastomataceae,Myrtales,,
Sophora,from an Arabic name,Fabaceae,Fabales,C,G
Sorbaria,Sorbus-like,Rosaceae,Rosales,C,G
Sorbus,Latin name,Rosaceae,Rosales,C,G
Sorghum,from an Italian name,Poaceae,Poales,,G
Sparaxis,torn (spathes),Iridaceae,Asparagales,,G
Sparganium,ribbon (the leaves). Greek and Latin name.,Typhaceae,Poales,C,G
Spartium,Greek name,Fabaceae,Fabales,C,G
Spathiphyllum,leafy spathe,Araceae,Alismatales,C,G
Spathodea,spathe-like (calyx),Bignoniaceae,Lamiales,,G
Spathoglottis,spathe-tongue (the middle lobe of the flower's lip),Orchidaceae,Asparagales,,
Sphaeralcea,globe (the fruit) + Alcea,Malvaceae,Malvales,C,G
Spilanthes,dotted flowers (dotted with pollen),Asteraceae,Asterales,,G
Spinacia,from an Arabic and Persian name,Amaranthaceae,Caryophyllales,C,G
Spiraea,Greek and Latin name,Rosaceae,Rosales,C,G
Spiranthes,spiral flowers,Orchidaceae,Asparagales,,G
Spondias,Greek name,Anacardiaceae,Sapindales,,G
Spyridium,basket-like (calyx),Rhamnaceae,Rosales,,
Stachys,Greek and Latin name,Lamiaceae,Lamiales,C,G
