,Genus,Meaning or derivation,Family,Order,C,G
902,Hypochaeris,Greek and Latin name. Previously Hypochoeris.,Asteraceae,Asterales,,G
903,Hypoxis,Greek name[4],Hypoxidaceae,Asparagales,,G
904,Hyssopus,Greek and Latin name,Lamiaceae,Lamiales,C,G
905,Iberis,Greek name,Brassicaceae,Brassicales,C,G
906,Ibicella,little ibex,Martyniaceae,Lamiales,,G
907,Ilex,Latin name,Aquifoliaceae,Aquifoliales,C,G
908,Illicium,Latin: enticement,Schisandraceae,Austrobaileyales,C,G
909,Impatiens,Latin: impatient (the forcefully ejected fruit),Balsaminaceae,Ericales,C,G
910,Indigofera,indigo-bearing,Fabaceae,Fabales,C,G
911,Inga,Tupi–Guarani name,Fabaceae,Fabales,,G
912,Inula,Latin name,Asteraceae,Asterales,C,G
913,Iochroma,violet colour,Solanaceae,Solanales,,G
914,Ionopsidium,violet-like,Brassicaceae,Brassicales,,G
915,Ipheion,"derived from a Greek name, possibly[6][8]",Amaryllidaceae,Asparagales,,G
916,Ipomoea,worm-like (the vines),Convolvulaceae,Solanales,C,G
917,Iresine,"woolly branches, possibly",Amaranthaceae,Caryophyllales,C,G
918,Iris,rainbow goddess (the flowers),Iridaceae,Asparagales,C,G
919,Isatis,Greek name,Brassicaceae,Brassicales,C,G
920,Isopogon,evenly bearded (the fruit),Proteaceae,Proteales,,G
921,Isopyrum,Greek and Latin name,Ranunculaceae,Ranunculales,,G
922,Isotoma,equal sections (in the flowers),Campanulaceae,Asterales,,G
923,Itea,Greek name[4],Iteaceae,Saxifragales,C,G
924,Ixia,Greek and Latin name[4],Iridaceae,Asparagales,,G
925,Ixiolirion,Ixia + lily[4],Ixioliriaceae,Asparagales,,G
926,Ixora,derived from Sanskrit,Rubiaceae,Gentianales,,G
927,Jacaranda,Brazilian name,Bignoniaceae,Lamiales,,G
928,Jasione,Greek name,Campanulaceae,Asterales,,G
929,Jasminum,Persian name,Oleaceae,Lamiales,C,G
930,Jatropha,doctor food (it is a purgative),Euphorbiaceae,Malpighiales,,G
931,Juglans,Latin name[4],Juglandaceae,Fagales,C,G
932,Juncus,binding. Latin name.[4],Juncaceae,Poales,C,G
933,Juniperus,Latin name,Cupressaceae,Pinales,C,G
934,Kadsura,Japanese name,Schisandraceae,Austrobaileyales,,G
935,Kalanchoe,derived from a Chinese name,Crassulaceae,Saxifragales,C,G
936,Kalopanax,attractive Panax,Araliaceae,Apiales,C,G
937,Kigelia,Mozambique name,Bignoniaceae,Lamiales,,G
938,Kirengeshoma,Japanese name,Hydrangeaceae,Cornales,C,G
939,Laburnum,Latin name[c],Fabaceae,Fabales,C,G
940,Lachnanthes,woolly flowers,Haemodoraceae,Commelinales,,
941,Lactuca,Latin: milky (the sap),Asteraceae,Asterales,C,G
942,Lagarosiphon,narrow tubes,Hydrocharitaceae,Alismatales,,G
943,Lagenandra,flask-like male parts (the anthers),Araceae,Alismatales,,
944,Lagenaria,flask-like (the fruits),Cucurbitaceae,Cucurbitales,,G
945,Lagotis,rabbit ears,Plantaginaceae,Lamiales,,G
946,Lagurus,rabbit tail (the inflorescences),Poaceae,Poales,,G
947,Lamium,Open mouth (the flowers). Latin name.[4],Lamiaceae,Lamiales,C,G
948,Lampranthus,shining flowers,Aizoaceae,Caryophyllales,,G
949,Lantana,Medieval Latin name,Verbenaceae,Lamiales,C,G
950,Larix,Latin name,Pinaceae,Pinales,C,G
951,Laserpitium,Latin name,Apiaceae,Apiales,,G
952,Latania,a name from Mauritius,Arecaceae,Arecales,,G
953,Lathraea,hidden (the parasitic underground stems),Orobanchaceae,Lamiales,,G
954,Lathyrus,Greek name,Fabaceae,Fabales,C,G
955,Laurelia,Latinised Spanish name,Athero­spermataceae,Laurales,,G
956,Laurus,Latin name[4],Lauraceae,Laurales,C,G
957,Lavandula,Latin: washing (used in soap),Lamiaceae,Lamiales,C,G
958,Lemna,Greek name,Araceae,Alismatales,,G
959,Lens,Latin name,Fabaceae,Fabales,,G
960,Leonotis,lion ears (the flowers),Lamiaceae,Lamiales,C,G
961,Leontodon,lion teeth (the leaf edges),Asteraceae,Asterales,,G
962,Leontopodium,lion feet,Asteraceae,Asterales,C,G
963,Leonurus,lion tails (the inflorescences),Lamiaceae,Lamiales,,G
