,Genus,Meaning or derivation,Family,Order,C,G
0,Abeliophyllum,Abelia-like leaves,Oleaceae,Lamiales,C,G
1,Abelmoschus,from Arabic for musky (the seeds),Malvaceae,Malvales,C,
2,Abies,Latin: rising. Latin name.[c],Pinaceae,Pinales,C,G
3,Abobra,Brazilian name,Cucurbitaceae,Cucurbitales,,G
4,Abroma,inedible,Malvaceae,Malvales,,G
5,Abronia,dainty (the bracts),Nyctaginaceae,Caryophyllales,,G
6,Abrophyllum,dainty leaves,Rousseaceae,Asterales,,G
7,Abrus,from an Arabic name or Greek,Fabaceae,Fabales,,G
8,Abutilon,Arabic name,Malvaceae,Malvales,C,G
9,Acacia,sharp tips. Greek name.,Fabaceae,Fabales,C,G
10,Acaena,thorns,Rosaceae,Rosales,C,G
11,Acalypha,Greek name,Euphorbiaceae,Malpighiales,C,G
12,Acampe,unbending (the flowers or stems),Orchidaceae,Asparagales,,
13,Acanthocereus,thorn-Cereus,Cactaceae,Caryophyllales,,
14,Acantholimon,thorn-Limonium,Plumbaginaceae,Caryophyllales,,G
15,Acanthophoenix,thorn-Phoenix,Arecaceae,Arecales,,
16,Acanthostachys,thorn spike (the bracts),Bromeliaceae,Poales,,
17,Acanthus,thorns[4],Acanthaceae,Lamiales,C,G
18,Acca,Peruvian name,Myrtaceae,Myrtales,C,
19,Acer,Latin name,Sapindaceae,Sapindales,C,G
20,Achillea,Achilles of mythology,Asteraceae,Asterales,C,G
21,Achimenes,unknown,Gesneriaceae,Lamiales,C,G
22,Achlys,Achlys of mythology,Berberidaceae,Ranunculales,C,G
23,Acineta,motionless (the lips),Orchidaceae,Asparagales,,
24,Ackama,Māori name,Cunoniaceae,Oxalidales,,
25,Acokanthera,sharp-tipped anthers,Apocynaceae,Gentianales,,G
26,Aconitum,Greek name,Ranunculaceae,Ranunculales,C,G
27,Acorus,Latin name[4],Acoraceae,Acorales,C,G
28,Acrocomia,top lock of hair (the leaves),Arecaceae,Arecales,,
29,Acronychia,end claw (on the petals),Rutaceae,Sapindales,,
30,Acrophyllum,end leaves,Cunoniaceae,Oxalidales,,
31,Actaea,Greek and Latin name,Ranunculaceae,Ranunculales,C,G
32,Actinidia,radiating (the styles)[4],Actinidiaceae,Ericales,C,G
33,Actinotus,radiating (the bracts),Apiaceae,Apiales,,G
34,Adenandra,glandular male parts,Rutaceae,Sapindales,,
35,Adenanthera,glandular anthers,Fabaceae,Fabales,,
36,Adenium,Arabic name,Passifloraceae,Malpighiales,,G
37,Adenocarpus,glandular (sticky) fruit,Fabaceae,Fabales,,G
38,Adenostoma,glandular mouth (the calyx),Rosaceae,Rosales,,
39,Adonis,Adonis of mythology,Ranunculaceae,Ranunculales,C,G
40,Adoxa,without stature[4],Adoxaceae,Dipsacales,,G
41,Aechmea,pointed (the calyx),Bromeliaceae,Poales,,G
42,Aegilops,Greek name,Poaceae,Poales,,G
43,Aegle,"Aegle, a Naiad of mythology",Rutaceae,Sapindales,,G
44,Aegopodium,goat's foot (the leaves),Apiaceae,Apiales,C,G
45,Aeonium,Latin name,Crassulaceae,Saxifragales,C,G
46,Aerangis,air cups,Orchidaceae,Asparagales,,G
47,Aeranthes,air flowers,Orchidaceae,Asparagales,,G
48,Aerides,air,Orchidaceae,Asparagales,,G
49,Aerva,Arabic name,Amaranthaceae,Caryophyllales,,
50,Aeschynanthus,blushing flowers,Gesneriaceae,Lamiales,,G
51,Aesculus,Latin name,Sapindaceae,Sapindales,C,G
52,Aethionema,odd filament (the stamens),Brassicaceae,Brassicales,C,G
53,Aframomum,African Amomum,Zingiberaceae,Zingiberales,,G
54,Agalmyla,glory of the forest,Gesneriaceae,Lamiales,,
55,Aganisia,gentleness,Orchidaceae,Asparagales,,
56,Aganosma,gentle scent,Apocynaceae,Gentianales,,
57,Agapanthus,love flowers,Amaryllidaceae,Asparagales,C,G
58,Agapetes,loved ones,Ericaceae,Ericales,,G
59,Agastache,remarkable or plentiful (flower) spikes,Lamiaceae,Lamiales,C,G
60,Agathis,ball of thread (the catkins),Araucariaceae,Pinales,C,G
61,Agathosma,good scent,Rutaceae,Sapindales,,G
62,Agave,praiseworthy (the flowers),Asparagaceae,Asparagales,C,G
63,Ageratum,never-aging (the flowers),Asteraceae,Asterales,C,G
64,Aglaia,Aglaea of mythology,Meliaceae,Sapindales,,
65,Aglaonema,shining thread (the stamens),Araceae,Alismatales,C,G
66,Agonis,congregation (the seeds),Myrtaceae,Myrtales,,
67,Agrimonia,Greek name,Rosaceae,Rosales,,G
68,Agrostemma,field wreaths,Caryophyllaceae,Caryophyllales,C,G
69,Agrostis,Greek name,Poaceae,Poales,,G
70,Aichryson,ever-gold. Greek name.,Crassulaceae,Saxifragales,C,G
71,Ailanthus,Moluccan name,Simaroubaceae,Sapindales,C,G
72,Aiphanes,ragged (the leaves) or ever-shining (the flowers),Arecaceae,Arecales,,G
73,Aira,Greek name,Poaceae,Poales,,G
74,Ajuga,Latin name,Lamiaceae,Lamiales,C,G
75,Akebia,Japanese name,Lardizabalaceae,Ranunculales,C,G
76,Alangium,Keralan name,Cornaceae,Cornales,,G
77,Alcea,Greek and Latin name,Malvaceae,Malvales,C,G
78,Alchemilla,Arabic name,Rosaceae,Rosales,C,G
79,Aletris,meal-grinder (they are powdery),Nartheciaceae,Dioscoreales,,G
80,Aleurites,floury (they are sometimes powdery),Euphorbiaceae,Malpighiales,,G
81,Alisma,Greek name[4],Alismataceae,Alismatales,C,G
82,Alkanna,Arabic name,Boraginaceae,Boraginales,,G
83,Allium,Latin name,Amaryllidaceae,Asparagales,C,G
84,Alloplectus,diverse weaving (the overlapping sepals),Gesneriaceae,Lamiales,,
85,Alnus,Latin name,Betulaceae,Fagales,C,G
86,Alocasia,separate from Colocasia,Araceae,Alismatales,C,G
87,Aloe,Arabic name,Asphodelaceae,Asparagales,C,G
88,Aloinopsis,like Aloe,Aizoaceae,Caryophyllales,,G
89,Alopecurus,fox tails (the grass),Poaceae,Poales,,G
90,Alphitonia,mealy (the fruit),Rhamnaceae,Rosales,,
91,Alseuosmia,grove scent[4],Alseuosmiaceae,Asterales,,G
92,Alternanthera,Latin: alternating anthers (are fertile),Amaranthaceae,Caryophyllales,C,G
93,Althaea,Greek name,Malvaceae,Malvales,C,G
94,Alyssum,Latin and Greek name,Brassicaceae,Brassicales,C,G
95,Alyxia,"chain (the fruits), possibly",Apocynaceae,Gentianales,,
96,Amaranthus,unfading (long-lasting)[4],Amaranthaceae,Caryophyllales,C,G
97,Amaryllis,"Amaryllis, a Greek shepherdess from classical poetry[4]",Amaryllidaceae,Asparagales,C,G
98,Ambrosia,ambrosia,Asteraceae,Asterales,,G
99,Amelanchier,French name,Rosaceae,Rosales,C,G
100,Ammi,Greek and Latin name,Apiaceae,Apiales,C,G
101,Ammobium,sand-living,Asteraceae,Asterales,,G
102,Ammocharis,sand beauty,Amaryllidaceae,Asparagales,,G
103,Ammophila,sand-loving,Poaceae,Poales,C,G
104,Amomum,Greek name,Zingiberaceae,Zingiberales,,G
105,Amorpha,deformed (the corollas),Fabaceae,Fabales,C,G
106,Amorphophallus,deformed phallus,Araceae,Alismatales,C,G
107,Ampelopsis,vine-like,Vitaceae,Vitales,C,G
108,Anacampseros,Greek name[4],Anacamp­serotaceae,Caryophyllales,,G
109,Anacamptis,bending back (possibly the orchid's spur),Orchidaceae,Asparagales,,G
110,Anacardium,Greek name[4],Anacardiaceae,Sapindales,,G
111,Anacyclus,flowerless circle (the corollas),Asteraceae,Asterales,C,G
112,Anagyris,Greek and Latin name,Fabaceae,Fabales,,G
113,Ananas,Tupi (South American) name,Bromeliaceae,Poales,C,G
114,Anaphalis,Greek name,Asteraceae,Asterales,C,G
115,Anastatica,resurrection (it recovers quickly from drought),Brassicaceae,Brassicales,,G
116,Anchusa,Greek and Latin name,Boraginaceae,Boraginales,C,G
117,Andira,Brazilian name,Fabaceae,Fabales,,G
118,Andrachne,Greek name,Phyllanthaceae,Malpighiales,,G
119,Andromeda,Andromeda of mythology,Ericaceae,Ericales,C,G
120,Andropogon,man beard (the spikelets),Poaceae,Poales,C,G
121,Androsace,Greek name,Primulaceae,Ericales,C,G
122,Androstephium,male-parts crown (the stamens),Asparagaceae,Asparagales,,
123,Anemarrhena,without filaments (the stamens),Asparagaceae,Asparagales,,G
124,Anemone,blood-red,Ranunculaceae,Ranunculales,C,G
125,Anemonopsis,like Anemone,Ranunculaceae,Ranunculales,C,G
126,Anemopaegma,windy playfulness,Bignoniaceae,Lamiales,,G
127,Anemopsis,like Anemone,Saururaceae,Piperales,C,
128,Anethum,Greek name,Apiaceae,Apiales,C,G
129,Angelica,Latin: angelic,Apiaceae,Apiales,C,G
130,Angelonia,South American name,Plantaginaceae,Lamiales,C,G
131,Angophora,vessel-bearing (fruit-bearing),Myrtaceae,Myrtales,,
132,Angraecum,Malay name,Orchidaceae,Asparagales,C,G
133,Ania,troublesome (maybe taxonomically),Orchidaceae,Asparagales,,
134,Anigozanthos,"wide-open flowers, perhaps",Haemodoraceae,Commelinales,,G
135,Anisotome,jagged (the leaves),Apiaceae,Apiales,,G
136,Annona,Taíno name[4],Annonaceae,Magnoliales,,G
137,Anoda,perhaps a Sinhalese name,Malvaceae,Malvales,,G
138,Anoectochilus,open lips,Orchidaceae,Asparagales,,
139,Anredera,unclear,Basellaceae,Caryophyllales,,
140,Antennaria,Latin: antenna-like (the bristles),Asteraceae,Asterales,C,G
141,Anthemis,Greek name,Asteraceae,Asterales,C,G
142,Anthericum,Greek name,Asparagaceae,Asparagales,C,G
143,Anthoxanthum,flowers of yellow,Poaceae,Poales,C,G
144,Anthriscus,Greek name,Apiaceae,Apiales,C,G
145,Anthurium,flower tail (the spikes),Araceae,Alismatales,C,G
146,Anthyllis,Greek name,Fabaceae,Fabales,C,G
147,Antiaris,Javanese derivation,Moraceae,Rosales,,G
148,Antidesma,unclear,Phyllanthaceae,Malpighiales,,G
149,Antigonon,perhaps angled or zig-zag,Polygonaceae,Caryophyllales,,G
150,Antirrhinum,nearly a nose (the flowers),Plantaginaceae,Lamiales,C,G
151,Anubias,Anubis,Araceae,Alismatales,,G
152,Aotus,earless (the simple calyx),Fabaceae,Fabales,,
153,Aphanostephus,inconspicuous adornment (the flower heads),Asteraceae,Asterales,,
154,Aphelandra,simple male part (the anthers),Acanthaceae,Lamiales,C,G
155,Aphyllanthes,"leafless flower (the long, bare stalks)",Asparagaceae,Asparagales,,G
156,Apios,pear (the shape of the tubers),Fabaceae,Fabales,C,G
157,Apium,Latin name[4],Apiaceae,Apiales,C,G
158,Aplectrum,spurless (the orchid flowers),Orchidaceae,Asparagales,,
159,Apocynum,Greek name[4],Apocynaceae,Gentianales,,G
160,Aponogeton,near (hot springs at) Abano Terme[4],Aponogetonaceae,Alismatales,,G
161,Aptenia,wingless (the capsules),Aizoaceae,Caryophyllales,,G
162,Aquilegia,eagle,Ranunculaceae,Ranunculales,C,G
163,Arabidopsis,like Arabis,Brassicaceae,Brassicales,,G
164,Arabis,Arabian,Brassicaceae,Brassicales,C,G
165,Arachis,Greek name,Fabaceae,Fabales,,G
166,Aralia,French-Canadian name[4],Araliaceae,Apiales,C,G
167,Araucaria,Araucanos (now Mapuche),Araucariaceae,Pinales,C,G
168,Arbutus,Latin name,Ericaceae,Ericales,C,G
169,Archonto­phoenix,lordly palm,Arecaceae,Arecales,,G
170,Arctium,Greek and Latin name,Asteraceae,Asterales,,G
171,Arctostaphylos,bear grapes,Ericaceae,Ericales,C,G
172,Arctotis,bear's ear (the scales),Asteraceae,Asterales,C,G
173,Ardisia,pointed (the anthers),Primulaceae,Ericales,C,G
174,Areca,Malabar name[4],Arecaceae,Arecales,,G
175,Arenaria,Latin: sand,Caryophyllaceae,Caryophyllales,C,G
176,Arenga,Malayan or Moluccan name,Arecaceae,Arecales,,G
177,Arethusa,Arethusa,Orchidaceae,Asparagales,,
178,Argania,Moroccan name,Sapotaceae,Ericales,,
179,Argemone,Greek name,Papaveraceae,Ranunculales,C,G
180,Argyranthemum,silver flowers,Asteraceae,Asterales,C,G
181,Argyreia,silvery (the backs of the leaves),Convolvulaceae,Solanales,,G
182,Argyroderma,silver-skin (the leaves),Aizoaceae,Caryophyllales,,G
183,Ariocarpus,fruit like Sorbus aria,Cactaceae,Caryophyllales,,
184,Arisaema,Arum-blood,Araceae,Alismatales,C,G
185,Arisarum,Greek name,Araceae,Alismatales,C,G
186,Aristea,"Greek: best, Latin: pointed, or awned (the bracts)",Iridaceae,Asparagales,C,G
187,Aristolochia,best childbirth (for which some species used to be prescribed)[4],Aristolochiaceae,Piperales,C,G
188,Armeria,French and Latin name,Plumbaginaceae,Caryophyllales,C,G
189,Armoracia,Latin name,Brassicaceae,Brassicales,C,G
190,Arnebia,Arabic name,Boraginaceae,Boraginales,,G
191,Arnica,Latin name,Asteraceae,Asterales,C,G
192,Aronia,Greek name,Rosaceae,Rosales,C,G
193,Arpophyllum,sickle-shaped leaves,Orchidaceae,Asparagales,,
194,Arracacia,Spanish name,Apiaceae,Apiales,,
195,Arrhenatherum,male bristle (the male awns),Poaceae,Poales,C,G
196,Artabotrys,supported (suspended) bunched fruit,Annonaceae,Magnoliales,,G
197,Artemisia,Latin name,Asteraceae,Asterales,C,G
198,Arthrocereus,jointed Cereus,Cactaceae,Caryophyllales,,
199,Arthropodium,jointed foot (the flower stalks),Asparagaceae,Asparagales,C,G
200,Artocarpus,bread fruit,Moraceae,Rosales,,G
201,Arum,Greek and Latin name[4],Araceae,Alismatales,C,G
202,Aruncus,Latin name,Rosaceae,Rosales,C,G
203,Arundinaria,like Arundo,Poaceae,Poales,C,G
204,Arundo,Latin: reeds,Poaceae,Poales,C,G
205,Asarina,Spanish name,Plantaginaceae,Lamiales,C,G
206,Asarum,Greek and Latin name,Aristolochiaceae,Piperales,C,G
207,Asclepias,Greek and Latin name,Apocynaceae,Gentianales,C,G
208,Asimina,Indian name,Annonaceae,Magnoliales,C,G
209,Asparagus,Latin name[4],Asparagaceae,Asparagales,C,G
210,Asperugo,rough (the leaves),Boraginaceae,Boraginales,,G
211,Asperula,little rough,Rubiaceae,Gentianales,,G
212,Asphodeline,like Asphodelus,Asphodelaceae,Asparagales,C,G
213,Asphodelus,Greek name[4],Asphodelaceae,Asparagales,C,G
214,Aspidistra,small shield (the stigmas),Asparagaceae,Asparagales,C,G
215,Aster,Latin: stars[4],Asteraceae,Asterales,C,G
216,Asteranthera,star anthers,Gesneriaceae,Lamiales,C,G
217,Astilbe,dull (the leaves),Saxifragaceae,Saxifragales,C,G
218,Astragalus,Greek and Latin name,Fabaceae,Fabales,,G
219,Astrantia,possibly Medieval Latin: stars,Apiaceae,Apiales,C,G
220,Astroloba,star lobes,Asphodelaceae,Asparagales,,
221,Astrophytum,star plant,Cactaceae,Caryophyllales,C,G
222,Asyneuma,not joined (the corolla lobes),Campanulaceae,Asterales,,G
223,Atalantia,Atalanta,Rutaceae,Sapindales,,G
224,Athamanta,probably Athamas,Apiaceae,Apiales,,G
225,Atherosperma,"awned seeds, or a reference to the fruit[4]",Athero­spermataceae,Laurales,,G
226,Atriplex,Latin name,Amaranthaceae,Caryophyllales,C,G
227,Atropa,Atropos,Solanaceae,Solanales,C,G
228,Attalea,unclear,Arecaceae,Arecales,,
229,Aucuba,Japanese name,Garryaceae,Garryales,C,G
230,Aurinia,Latin: golden (flowers),Brassicaceae,Brassicales,C,G
231,Avena,Latin name,Poaceae,Poales,C,G
232,Azolla,dry-killing (drought kills them),Salviniaceae,Salviniales,C,G
233,Babiana,from Afrikaans,Iridaceae,Asparagales,C,G
234,Baccharis,Bacchus,Asteraceae,Asterales,C,G
235,Bacopa,South American name,Plantaginaceae,Lamiales,,G
236,Bactris,walking stick,Arecaceae,Arecales,,G
237,Balaka,Fijian name,Arecaceae,Arecales,,
238,Ballota,Greek name,Lamiaceae,Lamiales,C,G
239,Bambusa,Malayan name,Poaceae,Poales,,G
240,Baphia,dye,Fabaceae,Fabales,,G
241,Baptisia,(indigo) dyeing,Fabaceae,Fabales,C,G
242,Basella,Malabar name[4],Basellaceae,Caryophyllales,,G
243,Bellis,Latin: attractive,Asteraceae,Asterales,C,G
244,Bellium,like Bellis,Asteraceae,Asterales,,G
245,Berberidopsis,like Berberis[4],Berberidop­sidaceae,Berberidopsidales,C,G
246,Berberis,Arabic name[4],Berberidaceae,Ranunculales,C,G
247,Beta,Latin name,Amaranthaceae,Caryophyllales,C,G
248,Betonica,from the name of a Spanish plant,Lamiaceae,Lamiales,,G
249,Betula,Latin name[4],Betulaceae,Fagales,C,G
250,Bidens,Latin: two teeth (on the dried fruit),Asteraceae,Asterales,C,G
251,Bifrenaria,double bridle (the pollinia stalks),Orchidaceae,Asparagales,,
252,Biscutella,Latin: two dishes (the shape of the fruits),Brassicaceae,Brassicales,,G
253,Bistorta,Medieval Latin name,Polygonaceae,Caryophyllales,,G
254,Bixa,Carib name[4],Bixaceae,Malvales,,G
255,Blyxa,"gushing (the habitat), possibly",Hydrocharitaceae,Alismatales,,
256,Bombax,silk (the seed capsules' stuffing),Malvaceae,Malvales,,G
257,Borago,"Latin: hairy clothes, possibly (the leaves)[4]",Boraginaceae,Boraginales,C,G
258,Borassus,spadix of the date palm,Arecaceae,Arecales,,G
259,Brabejum,sceptre or prize,Proteaceae,Proteales,,
260,Brachychiton,short coat (including the scales),Malvaceae,Malvales,,G
261,Brachyscome,short lock of hair (the pappuses). Previously Brachycome.,Asteraceae,Asterales,C,G
262,Brassica,Latin name[4],Brassicaceae,Brassicales,C,G
263,Briza,Greek name,Poaceae,Poales,C,G
264,Bromus,Greek name,Poaceae,Poales,C,G
265,Brosimum,edible,Moraceae,Rosales,,G
266,Bryonia,Greek name,Cucurbitaceae,Cucurbitales,,G
267,Bulbine,Greek name,Asphodelaceae,Asparagales,C,G
268,Bulbinella,little Bulbine,Asphodelaceae,Asparagales,C,G
269,Bulbophyllum,bulb leaves,Orchidaceae,Asparagales,,G
270,Bunium,Greek name,Apiaceae,Apiales,,G
271,Buphthalmum,ox eye,Asteraceae,Asterales,C,G
272,Bupleurum,ox rib. Greek name.,Apiaceae,Apiales,C,G
273,Bursaria,purse (the fruits),Pittosporaceae,Apiales,,G
274,Butia,Brazilian name,Arecaceae,Arecales,,G
275,Butomus,ox-cutting (the inedible leaves harm cattle)[4],Butomaceae,Alismatales,C,G
276,Buxus,Greek and Latin name[4],Buxaceae,Buxales,C,G
277,Cabomba,Guianese name[4],Cabombaceae,Nymphaeales,,G
278,Caiophora,(hairs) causing a burn,Loasaceae,Cornales,,G
279,Cajanus,Malay name,Fabaceae,Fabales,,G
280,Caladium,Malay name,Araceae,Alismatales,C,G
281,Calamus,Greek name,Arecaceae,Arecales,,G
282,Calanthe,attractive flowers,Orchidaceae,Asparagales,C,G
283,Calathea,basket (the bracts),Marantaceae,Zingiberales,C,G
284,Calceolaria,slipper (the flowers),Calceolariaceae,Lamiales,C,G
285,Calendula,first day of the month,Asteraceae,Asterales,C,G
286,Calla,attractive,Araceae,Alismatales,C,G
287,Calliandra,attractive stamens,Fabaceae,Fabales,,G
288,Callicarpa,attractive fruit,Lamiaceae,Lamiales,C,G
289,Callicoma,attractive hair,Cunoniaceae,Oxalidales,,G
290,Callirhoe,Callirrhoe,Malvaceae,Malvales,C,G
291,Callisia,beauty,Commelinaceae,Commelinales,C,G
292,Callistemon,attractive stamens,Myrtaceae,Myrtales,C,G
293,Callistephus,attractive crown (the flowers),Asteraceae,Asterales,C,G
294,Callitriche,attractive hair,Plantaginaceae,Lamiales,,G
295,Callitris,"attractive triples (the leaves, for instance)",Cupressaceae,Pinales,,G
296,Calluna,tidying or beautifying,Ericaceae,Ericales,C,G
297,Calocedrus,attractive cedar,Cupressaceae,Pinales,C,G
298,Calocephalus,attractive head (the flowers),Asteraceae,Asterales,,G
299,Calochortus,attractive grass,Liliaceae,Liliales,C,G
300,Calodendrum,attractive tree,Rutaceae,Sapindales,,G
301,Calophaca,attractive lentil,Fabaceae,Fabales,,G
302,Calophyllum,beautiful leaves[4],Calophyllaceae,Malpighiales,,G
303,Calopogon,attractive beard (on the lips),Orchidaceae,Asparagales,,G
304,Calothamnus,attractive shrub,Myrtaceae,Myrtales,,G
305,Calotropis,attractive boat,Apocynaceae,Gentianales,,G
306,Caltha,Latin name,Ranunculaceae,Ranunculales,C,G
307,Calycanthus,calyx flower (the sepals are like the petals)[4],Calycanthaceae,Laurales,C,G
308,Calypso,Calypso,Orchidaceae,Asparagales,,G
309,Calytrix,Hairy calyx. Previously Calythrix.,Myrtaceae,Myrtales,,G
310,Camassia,Chinookan name,Asparagaceae,Asparagales,C,G
311,Campanula,Latin: little bell (the flowers)[4],Campanulaceae,Asterales,C,G
312,Camphorosma,camphor-scented,Amaranthaceae,Caryophyllales,,G
313,Campsidium,Campsis-like,Bignoniaceae,Lamiales,,G
314,Campsis,curved (the stamens),Bignoniaceae,Lamiales,C,G
315,Cananga,Malayan name,Annonaceae,Magnoliales,,G
316,Canarina,Canary Islands,Campanulaceae,Asterales,,G
317,Canavalia,Malabar name,Fabaceae,Fabales,,G
318,Canella,little Canna[4],Canellaceae,Canellales,,G
319,Canistrum,Latin: basket (the bracts),Bromeliaceae,Poales,,G
320,Canna,Irish Celtic word for a reed or cane[4],Cannaceae,Zingiberales,C,G
321,Cannabis,Greek and Latin name[4],Cannabaceae,Rosales,,G
322,Cantua,Peruvian name,Polemoniaceae,Ericales,C,G
323,Capparis,Greek name[4],Capparaceae,Brassicales,,G
324,Capsicum,bite (the spiciness),Solanaceae,Solanales,C,G
325,Caragana,Mongol name,Fabaceae,Fabales,C,G
326,Caralluma,"Telugu name, possibly",Apocynaceae,Gentianales,,G
327,Cardamine,Greek name,Brassicaceae,Brassicales,C,G
328,Cardiocrinum,heart lily (the leaves),Liliaceae,Liliales,C,G
329,Cardiospermum,heart seed (white spots on the seeds),Sapindaceae,Sapindales,C,G
330,Carduncellus,little Carduus,Asteraceae,Asterales,,G
331,Carduus,Latin name,Asteraceae,Asterales,,G
332,Carex,Latin name,Cyperaceae,Poales,C,G
333,Carica,Latin name[4],Caricaceae,Brassicales,,G
334,Carissa,originally from Sanskrit,Apocynaceae,Gentianales,,G
335,Carpinus,Latin name,Betulaceae,Fagales,C,G
336,Carpobrotus,edible fruit,Aizoaceae,Caryophyllales,C,G
337,Carpodetus,constricted fruit (narrower in the middle),Rousseaceae,Asterales,,G
338,Carthamus,from Arabic,Asteraceae,Asterales,,G
339,Carum,Greek name,Apiaceae,Apiales,C,G
340,Carya,Greek name,Juglandaceae,Fagales,C,G
341,Caryopteris,nut wing (the wings on the fruit),Lamiaceae,Lamiales,C,G
342,Caryota,nut,Arecaceae,Arecales,,G
343,Cassia,Greek name,Fabaceae,Fabales,,G
344,Cassiope,Cassiopeia,Ericaceae,Ericales,C,G
345,Castanea,Greek and Latin name,Fagaceae,Fagales,C,G
346,Castanopsis,Castanea-like,Fagaceae,Fagales,,G
347,Castano­spermum,Castanea seed,Fabaceae,Fabales,,G
348,Casuarina,From a Malaysian word for cassowary[4],Casuarinaceae,Fagales,,G
349,Catalpa,Native American name,Bignoniaceae,Lamiales,C,G
350,Catananche,Greek name,Asteraceae,Asterales,C,G
351,Catasetum,bristles pointing down (on the columns),Orchidaceae,Asparagales,,G
352,Catha,Arabic name,Celastraceae,Celastrales,,G
353,Caulophyllum,stem-leaf (the single large leaf),Berberidaceae,Ranunculales,,G
354,Ceanothus,Greek name,Rhamnaceae,Rosales,C,G
355,Cecropia,Cecrops I,Urticaceae,Rosales,,G
356,Cedrela,Latin: little cedar,Meliaceae,Sapindales,,G
357,Cedronella,Latin: little cedar,Lamiaceae,Lamiales,,G
358,Cedrus,Greek and Latin name,Pinaceae,Pinales,C,G
359,Ceiba,South American name,Malvaceae,Malvales,,G
360,Celastrus,Greek name[4],Celastraceae,Celastrales,C,G
361,Celmisia,"Celmisios, whose mother was the Greek nymph Alciope",Asteraceae,Asterales,,G
362,Celosia,burning (the hues of the flowers),Amaranthaceae,Caryophyllales,C,G
363,Celtis,Greek name,Cannabaceae,Rosales,C,G
364,Centaurea,centaur,Asteraceae,Asterales,C,G
365,Centaurium,centaur,Gentianaceae,Gentianales,,G
366,Centradenia,spur gland (on the anthers),Melastomataceae,Myrtales,,G
367,Centranthus,spur flowers,Caprifoliaceae,Dipsacales,C,G
368,Centropogon,spur beard (on the stigmas),Campanulaceae,Asterales,,G
369,Centrosema,spur standard,Fabaceae,Fabales,,G
370,Cephalanthus,head of flowers,Rubiaceae,Gentianales,,G
371,Cephalaria,(flower) heads,Caprifoliaceae,Dipsacales,C,G
372,Cephalocereus,head Cereus,Cactaceae,Caryophyllales,C,G
373,Cephalo­stachyum,head spike (the flower spikes),Poaceae,Poales,,
374,Cephalotaxus,head Taxus,Cephalotaxaceae,Pinales,,G
375,Cerastium,horn (the shape of the capsules),Caryophyllaceae,Caryophyllales,C,G
376,Ceratonia,Greek name,Fabaceae,Fabales,,G
377,Ceratopetalum,horned (antler-shaped) petals,Cunoniaceae,Oxalidales,,G
378,Ceratophyllum,horned (antler-shaped) leaves[4],Ceratophyllaceae,Ceratophyllales,C,G
379,Ceratostigma,horn stigmas,Plumbaginaceae,Caryophyllales,C,G
380,Ceratozamia,horn Zamia (the horned scales),Zamiaceae,Cycadales,,G
381,Cercidiphyllum,with leaves like Cercis siliquastrum[4],Cercidiphyllaceae,Saxifragales,C,G
382,Cercis,weaver's shuttle (the pods),Fabaceae,Fabales,C,G
383,Cercocarpus,tail (-shaped) fruit,Rosaceae,Rosales,,G
384,Cereus,Latin: wax candle (the shape),Cactaceae,Caryophyllales,,G
385,Cerinthe,wax,Boraginaceae,Boraginales,,G
386,Ceropegia,wax fountain (the flowers),Apocynaceae,Gentianales,C,G
387,Ceroxylon,wax (-coated) wood,Arecaceae,Arecales,,G
388,Cestrum,Greek name,Solanaceae,Solanales,C,G
389,Chaenomeles,gaping apples,Rosaceae,Rosales,C,G
390,Chaenorhinum,gaping Antirrhinum (the flowers are more open),Plantaginaceae,Lamiales,C,G
391,Chaerophyllum,pleasing leaves (the scent),Apiaceae,Apiales,,G
392,Chamaebatia,Greek name,Rosaceae,Rosales,,G
393,Chamaecyparis,dwarf cypress,Cupressaceae,Pinales,C,G
394,Chamaedaphne,dwarf Daphne,Ericaceae,Ericales,C,G
395,Chamaedorea,ground gift (the easily accessible fruit),Arecaceae,Arecales,C,G
396,Chamaelirium,dwarf lily,Melanthiaceae,Liliales,C,G
397,Chamaeran­themum,dwarf Eranthemum,Acanthaceae,Lamiales,,
398,Chamaerops,dwarf bush,Arecaceae,Arecales,C,G
399,Chamelaucium,unclear,Myrtaceae,Myrtales,,
400,Chasmanthe,wide-open flowers,Iridaceae,Asparagales,,G
401,Chelidonium,swallow,Papaveraceae,Ranunculales,C,G
402,Chelone,turtle,Plantaginaceae,Lamiales,C,G
403,Chenopodium,goose foot (the leaves),Amaranthaceae,Caryophyllales,C,G
404,Chiastophyllum,crosswise leaves,Crassulaceae,Saxifragales,,G
405,Chiliotrichum,a thousand hairs,Asteraceae,Asterales,,G
406,Chilopsis,lip-like (the calyx),Bignoniaceae,Lamiales,,G
407,Chimaphila,winter-loving (evergreen),Ericaceae,Ericales,,G
408,Chimonanthus,winter-flowering,Calycanthaceae,Laurales,C,G
409,Chimono­bambusa,winter Bambusa,Poaceae,Poales,C,G
410,Chiococca,snow berries,Rubiaceae,Gentianales,,G
411,Chionanthus,snow-white flowers,Oleaceae,Lamiales,C,G
412,Chionophila,snow-loving (the habitat),Plantaginaceae,Lamiales,,G
413,Chironia,Chiron,Gentianaceae,Gentianales,,G
414,Chlidanthus,luxury flowers,Amaryllidaceae,Asparagales,C,G
415,Chloraea,green (the flowers),Orchidaceae,Asparagales,,G
